,natl_id,Label,address,State,zipcode,cat1,cat2,cat3,url,Notes,lon,lat
48,48,South Carolina Department of Commerce,"1201 Main St # 1600, Columbia, SC 29201, USA",SC,29201,No Tier,Other,State Support,,state,-81.0347,34.00137
49,49,South Carolina Association of Heating & A/C Contractors,"PO Box 80265, Charleston, South Carolina, 29416 USA",SC,29416,No Tier,Association,State,https://scheatingandair.org/,,-81.1637,33.83608
50,50,Hilton Head Island Sea Turtle Protection Project,"Hilton Head Island, SC, 29925 USA",SC,29925,No Tier,Program,Environment,https://www.coastaldiscovery.org,,-80.7526,32.21632
51,51,Discovery Channel School,"1 Discovery Pl, Silver Spring, MD 20910, USA",MD,20910,No Tier,Program,Education,https://www.palmetto.coop/get-charged/,Youth Education,-77.0276,38.99478
52,52,Santee Cooper,"1 Riverwood Dr, Moncks Corner, SC 29461, USA",SC,29461,No Tier,Other,Hydro Partnership,,,-79.9806,33.19918
53,53,Congaree National Park,"100 National Park Rd, Hopkins, SC 29061, USA",SC,29061,No Tier,Other,Green Power Partner,,Green Power Partner,-80.8234,33.8296
54,54,Starbucks Coffee,"2401 Utah Ave S 8th floor, Seattle, WA 98134, USA",WA,98134,No Tier,Other,Green Power Partner,,Green Power Partner,-122.335,47.58075
55,55,Operation Round-Up,"808 Knox Abbott Dr, West Columbia, SC 29033, USA",SC,29210,No Tier,Program,Community,https://www.palmetto.coop/operation-round-up/,"One of the most successful community service efforts in which we’re involved has been the Operation Round Up program. Founded by Palmetto Electric in 1989, Operation Round Up has been an incredibly successful way in which we have been able to help the less fortunate in our community. Through Operation Round Up, Palmetto Electric automatically rounds up a participating member’s electric bills to the next highest dollar. For example, a consumer’s monthly bill of $52.73 would be automatically rounded up to $53.00, with the additional 27 cents going to the Operation Round Up fund. On an annual basis, we are able to donate roughly six dollars for each participating customer – and that pool of money is then allocated to a variety of worthy causes throughout our service area.",-81.0624,33.98258
56,56,Palmetto Economic Development Coorporation,"1201 Main St #250, Columbia, SC 29201, USA",SC,29201,No Tier,Other,Economic Development,,,-81.0348,34.00121
57,57,WIRE (Women Involved in Rural Electrification),"808 Knox Abbott Dr, West Columbia, SC 29033, USA",SC,29210,No Tier,Program,Community,http://www.ecsc.org/wire,,-81.0624,33.98258
58,58,Alliance Park Anderson County,"411 Alliance Pkwy, Anderson, SC 29621, USA",SC,29621,No Tier,Other,Economic Development,,Industrial park power site,-82.5997,34.62888
59,59,Golden Corner,"SC-59 & Cleveland Creek Rd, Fair Play, SC 29643, USA",SC,29643,No Tier,Other,Economic Development,,Industrial park power site,-82.9883,34.51818
60,60,TTI,"100 Ryobi Drive, Anderson, SC 29621, USA",SC,29621,No Tier,Other,Economic Development,,Industrial park power site,-82.6118,34.63247
61,61,Alliance Park Pickens,"1390 Smith Grove Rd, Liberty, SC 29657, USA",SC,29657,No Tier,Other,Economic Development,,Industrial park power site,-82.6549,34.79256
62,62,OITP,"4271 SC-11, Westminster, SC 29693, USA",SC,29693,No Tier,Other,Economic Development,,Industrial park power site,-83.0479,34.69726
63,63,South Carolina I-77 Alliiance,"3200 Commerce Dr, Richburg, SC 29729, USA",SC,29729,No Tier,Other,Economic Development,https://www.i77alliance.com/,,-81.0344,34.74994
64,64,York County Economic Development,"1830 2nd Baxter Crossing, Fort Mill, SC 29708, USA",SC,29708,No Tier,Other,Economic Development,,,-80.969,35.02947
