ID,FIPS,Label,Address,State,Zip,Category,cat1,cat2,cat3,url,Notes,address,formatted_address,lng,lat,subcat
50,,Hilton Head Island Sea Turtle Protection Project,PO Box 23434,SC,29925,Development,No Tier,Program,Environment,https://www.coastaldiscovery.org,,"Hilton Head Island Sea Turtle Protection Project, SC, PO Box 23434, 29925","Hilton Head Island, SC, USA",-80.7526,32.21632,
51,,Discovery Channel School,One Discovery Place,MD,20910,Development,No Tier,Program,Education,https://www.palmetto.coop/get-charged/,Youth Education,"Discovery Channel School, MD, One Discovery Place , 20910","1 Discovery Pl, Silver Spring, MD 20910, USA",-77.0276,38.99478,
52,,Santee Cooper,1 Riverwood Drive,SC,29461,Development,No Tier,Other,Hydro Partnership,,,"Santee Cooper, SC, 1 Riverwood Drive, 29461","1 Riverwood Dr, Moncks Corner, SC 29461, USA",-79.9806,33.19918,
53,,Congaree National Park,100 National Park Road,SC,29061,Press,No Tier,Other,Green Power Partner,,Green Power Partner,"Congaree National Park, SC, 100 National Park Road, 29061","100 National Park Rd, Hopkins, SC 29061, USA",-80.8234,33.8296,
54,,Starbucks Coffee,"2401 Utah Ave S, 8th floor",WA,98134,Press,No Tier,Other,Green Power Partner,,Green Power Partner,"Starbucks Coffee, WA, 2401 Utah Ave S, 8th floor, 98134","2401 Utah Ave S 8th floor, Seattle, WA 98134, USA",-122.335,47.58075,
55,,Operation Round-Up,808 Knox Abbott Drive,SC,29210,Development,No Tier,Program,Community,https://www.palmetto.coop/operation-round-up/,"One of the most successful community service efforts in which we’re involved has been the Operation Round Up program. Founded by Palmetto Electric in 1989, Operation Round Up has been an incredibly successful way in which we have been able to help the less fortunate in our community. Through Operation Round Up, Palmetto Electric automatically rounds up a participating member’s electric bills to the next highest dollar. For example, a consumer’s monthly bill of $52.73 would be automatically rounded up to $53.00, with the additional 27 cents going to the Operation Round Up fund. On an annual basis, we are able to donate roughly six dollars for each participating customer – and that pool of money is then allocated to a variety of worthy causes throughout our service area.","Operation Round-Up, SC, 808 Knox Abbott Drive, 29210","808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.0624,33.98258,
56,,Palmetto Economic Development Coorporation,"1201 Main Street, Ste 1710",SC,29201,Development,No Tier,Other,Economic Development,,,"Palmetto Economic Development Coorporation , SC, 1201 Main Street, Ste 1710, 29201","1201 Main St #250, Columbia, SC 29201, USA",-81.0348,34.00121,
57,,WIRE (Women Involved in Rural Electrification),808 Knox Abbott Drive,SC,29210,Development,No Tier,Program,Community,http://www.ecsc.org/wire,,"WIRE (Women Involved in Rural Electrification) , SC, 808 Knox Abbott Drive, 29210","808 Knox Abbott Dr, West Columbia, SC 29033, USA",-81.0624,33.98258,
58,,Alliance Park Anderson County,411 Alliance Pkwy,SC,29621,Development,No Tier,Other,Economic Development,,Industrial park power site,"Alliance Park Anderson County , SC, 411 Alliance Pkwy, 29621","411 Alliance Pkwy, Anderson, SC 29621, USA",-82.5997,34.62888,
59,,Golden Corner,Hwy 59 Cleveland Creek Rd,SC,29643,Development,No Tier,Other,Economic Development,,Industrial park power site,"Golden Corner, SC, Hwy 59 Cleveland Creek Rd, 29643","SC-59 & Cleveland Creek Rd, Fair Play, SC 29643, USA",-82.9883,34.51818,
60,,TTI,100 Ryobi Drive,SC,29621,Development,No Tier,Other,Economic Development,,Industrial park power site,"TTI, SC, 100 Ryobi Drive, 29621","100 Ryobi Drive, Anderson, SC 29621, USA",-82.6118,34.63247,
61,,Alliance Park Pickens,1390 Smith Grove Rd,SC,29657,Development,No Tier,Other,Economic Development,,Industrial park power site,"Alliance Park Pickens, SC, 1390 Smith Grove Rd, 29657","1390 Smith Grove Rd, Liberty, SC 29657, USA",-82.6549,34.79256,
62,,OITP,4271 SC-11,SC,29693,Development,No Tier,Other,Economic Development,,Industrial park power site,"OITP, SC, 4271 SC-11, 29693","4271 SC-11, Westminster, SC 29693, USA",-83.0479,34.69726,
